Earlier Prediction      ActiveLearner prediction     Correct Value
SearchCreativeWork    RateBook    PlayMusic
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
RateBook    RateBook    AddToPlaylist
PlayMusic    SearchCreativeWork    AddToPlaylist
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchScreeningEvent    RateBook    BookRestaurant
RateBook    BookRestaurant    AddToPlaylist
PlayMusic    RateBook    SearchCreativeWork
BookRestaurant    SearchCreativeWork    GetWeather
AddToPlaylist    RateBook    PlayMusic
BookRestaurant    BookRestaurant    GetWeather
SearchCreativeWork    SearchCreativeWork    PlayMusic
BookRestaurant    RateBook    GetWeather
AddToPlaylist    RateBook    PlayMusic
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    RateBook    PlayMusic
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
AddToPlaylist    RateBook    PlayMusic
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchScreeningEvent    RateBook    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchScreeningEvent    RateBook    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    RateBook    PlayMusic
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchScreeningEvent    RateBook    GetWeather
PlayMusic    RateBook    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchScreeningEvent    RateBook    SearchCreativeWork
AddToPlaylist    RateBook    PlayMusic
SearchCreativeWork    RateBook    PlayMusic
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchScreeningEvent    RateBook    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    PlayMusic
SearchCreativeWork    RateBook    SearchScreeningEvent
AddToPlaylist    SearchCreativeWork    PlayMusic
SearchCreativeWork    BookRestaurant    PlayMusic
PlayMusic    RateBook    SearchCreativeWork
BookRestaurant    RateBook    SearchCreativeWork
GetWeather    RateBook    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
AddToPlaylist    RateBook    PlayMusic
SearchScreeningEvent    RateBook    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
BookRestaurant    SearchCreativeWork    GetWeather
AddToPlaylist    SearchCreativeWork    PlayMusic
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
SearchScreeningEvent    RateBook    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
SearchScreeningEvent    RateBook    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
AddToPlaylist    RateBook    PlayMusic
SearchCreativeWork    RateBook    SearchScreeningEvent
AddToPlaylist    SearchCreativeWork    PlayMusic
SearchScreeningEvent    RateBook    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    PlayMusic
SearchScreeningEvent    AddToPlaylist    SearchCreativeWork
SearchScreeningEvent    RateBook    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    AddToPlaylist    AddToPlaylist
PlayMusic    RateBook    SearchCreativeWork
GetWeather    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
BookRestaurant    RateBook    SearchCreativeWork
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
BookRestaurant    RateBook    SearchCreativeWork
BookRestaurant    RateBook    GetWeather
SearchCreativeWork    RateBook    PlayMusic
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
AddToPlaylist    RateBook    PlayMusic
SearchScreeningEvent    GetWeather    PlayMusic
PlayMusic    RateBook    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
AddToPlaylist    SearchCreativeWork    PlayMusic
SearchCreativeWork    RateBook    PlayMusic
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
AddToPlaylist    SearchCreativeWork    PlayMusic
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
GetWeather    RateBook    SearchScreeningEvent
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchScreeningEvent    BookRestaurant    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    RateBook    PlayMusic
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchScreeningEvent    GetWeather    SearchCreativeWork
SearchScreeningEvent    RateBook    GetWeather
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    PlayMusic
PlayMusic    SearchCreativeWork    AddToPlaylist
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    AddToPlaylist    AddToPlaylist
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchScreeningEvent    BookRestaurant    SearchCreativeWork
AddToPlaylist    RateBook    PlayMusic
PlayMusic    RateBook    SearchCreativeWork
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    SearchCreativeWork    AddToPlaylist
SearchScreeningEvent    RateBook    SearchCreativeWork
PlayMusic    BookRestaurant    SearchCreativeWork
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
GetWeather    RateBook    SearchScreeningEvent
SearchCreativeWork    AddToPlaylist    PlayMusic
PlayMusic    SearchCreativeWork    AddToPlaylist
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    RateBook    PlayMusic
SearchCreativeWork    SearchCreativeWork    PlayMusic
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
AddToPlaylist    RateBook    PlayMusic
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
BookRestaurant    SearchCreativeWork    GetWeather
PlayMusic    RateBook    SearchCreativeWork
AddToPlaylist    RateBook    PlayMusic
AddToPlaylist    AddToPlaylist    PlayMusic
SearchScreeningEvent    RateBook    PlayMusic
SearchCreativeWork    RateBook    PlayMusic
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    AddToPlaylist
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
