Earlier Prediction      ActiveLearner prediction     Correct Value
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
AddToPlaylist    SearchCreativeWork    PlayMusic
SearchCreativeWork    PlayMusic    PlayMusic
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
PlayMusic    SearchCreativeWork    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    BookRestaurant    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
PlayMusic    SearchCreativeWork    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    PlayMusic
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
AddToPlaylist    SearchCreativeWork    PlayMusic
SearchCreativeWork    SearchCreativeWork    PlayMusic
PlayMusic    RateBook    SearchCreativeWork
BookRestaurant    PlayMusic    SearchCreativeWork
GetWeather    SearchScreeningEvent    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
AddToPlaylist    PlayMusic    PlayMusic
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
BookRestaurant    BookRestaurant    GetWeather
AddToPlaylist    SearchCreativeWork    PlayMusic
SearchCreativeWork    GetWeather    SearchScreeningEvent
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchScreeningEvent    RateBook    SearchCreativeWork
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
AddToPlaylist    RateBook    PlayMusic
SearchCreativeWork    PlayMusic    SearchScreeningEvent
AddToPlaylist    SearchCreativeWork    PlayMusic
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    RateBook    PlayMusic
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    AddToPlaylist
PlayMusic    PlayMusic    SearchCreativeWork
GetWeather    RateBook    SearchScreeningEvent
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
BookRestaurant    SearchCreativeWork    SearchCreativeWork
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
PlayMusic    RateBook    SearchCreativeWork
BookRestaurant    PlayMusic    SearchCreativeWork
BookRestaurant    RateBook    GetWeather
SearchCreativeWork    PlayMusic    PlayMusic
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
AddToPlaylist    SearchScreeningEvent    PlayMusic
SearchScreeningEvent    SearchCreativeWork    PlayMusic
PlayMusic    PlayMusic    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    SearchCreativeWork    SearchCreativeWork
AddToPlaylist    SearchScreeningEvent    PlayMusic
SearchCreativeWork    SearchCreativeWork    PlayMusic
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
AddToPlaylist    SearchCreativeWork    PlayMusic
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchScreeningEvent    RateBook    SearchCreativeWork
GetWeather    RateBook    SearchScreeningEvent
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchCreativeWork    RateBook    PlayMusic
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchScreeningEvent    SearchCreativeWork    GetWeather
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchScreeningEvent    RateBook    SearchCreativeWork
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    RateBook    PlayMusic
PlayMusic    BookRestaurant    AddToPlaylist
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchCreativeWork    RateBook    AddToPlaylist
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
AddToPlaylist    PlayMusic    PlayMusic
PlayMusic    RateBook    SearchCreativeWork
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
PlayMusic    SearchScreeningEvent    AddToPlaylist
SearchScreeningEvent    PlayMusic    SearchCreativeWork
PlayMusic    SearchCreativeWork    SearchCreativeWork
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
PlayMusic    SearchCreativeWork    SearchCreativeWork
GetWeather    RateBook    SearchScreeningEvent
SearchCreativeWork    BookRestaurant    PlayMusic
PlayMusic    SearchScreeningEvent    AddToPlaylist
SearchCreativeWork    RateBook    SearchScreeningEvent
SearchCreativeWork    SearchCreativeWork    PlayMusic
SearchCreativeWork    SearchCreativeWork    PlayMusic
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    BookRestaurant    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
AddToPlaylist    SearchCreativeWork    PlayMusic
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
BookRestaurant    SearchScreeningEvent    GetWeather
PlayMusic    PlayMusic    SearchCreativeWork
AddToPlaylist    PlayMusic    PlayMusic
AddToPlaylist    SearchCreativeWork    PlayMusic
SearchScreeningEvent    SearchCreativeWork    PlayMusic
SearchCreativeWork    SearchCreativeWork    PlayMusic
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchCreativeWork    SearchCreativeWork    SearchScreeningEvent
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    AddToPlaylist
SearchScreeningEvent    SearchCreativeWork    SearchCreativeWork
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    RateBook    SearchScreeningEvent
