Earlier Prediction      ActiveLearner prediction     Correct Value
SearchCreativeWork    SearchScreeningEvent    PlayMusic
SearchScreeningEvent    BookRestaurant    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
RateBook    BookRestaurant    AddToPlaylist
PlayMusic    SearchScreeningEvent    AddToPlaylist
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchScreeningEvent    SearchScreeningEvent    BookRestaurant
RateBook    AddToPlaylist    AddToPlaylist
PlayMusic    SearchScreeningEvent    SearchCreativeWork
BookRestaurant    BookRestaurant    GetWeather
AddToPlaylist    SearchScreeningEvent    PlayMusic
BookRestaurant    BookRestaurant    GetWeather
SearchCreativeWork    BookRestaurant    PlayMusic
BookRestaurant    SearchScreeningEvent    GetWeather
AddToPlaylist    BookRestaurant    PlayMusic
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchCreativeWork    PlayMusic    PlayMusic
PlayMusic    GetWeather    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
AddToPlaylist    AddToPlaylist    PlayMusic
SearchCreativeWork    GetWeather    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchScreeningEvent    GetWeather    SearchCreativeWork
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchCreativeWork    GetWeather    PlayMusic
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchScreeningEvent    SearchScreeningEvent    GetWeather
PlayMusic    SearchScreeningEvent    SearchCreativeWork
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
AddToPlaylist    BookRestaurant    PlayMusic
SearchCreativeWork    SearchScreeningEvent    PlayMusic
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
PlayMusic    SearchScreeningEvent    SearchCreativeWork
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchScreeningEvent    BookRestaurant    SearchCreativeWork
SearchScreeningEvent    BookRestaurant    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
PlayMusic    GetWeather    SearchCreativeWork
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchScreeningEvent    BookRestaurant    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    PlayMusic
SearchCreativeWork    GetWeather    SearchScreeningEvent
AddToPlaylist    SearchScreeningEvent    PlayMusic
SearchCreativeWork    BookRestaurant    PlayMusic
PlayMusic    SearchScreeningEvent    SearchCreativeWork
BookRestaurant    SearchScreeningEvent    SearchCreativeWork
GetWeather    SearchScreeningEvent    SearchCreativeWork
PlayMusic    SearchScreeningEvent    SearchCreativeWork
AddToPlaylist    SearchScreeningEvent    PlayMusic
SearchScreeningEvent    RateBook    SearchCreativeWork
PlayMusic    GetWeather    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
BookRestaurant    SearchScreeningEvent    GetWeather
AddToPlaylist    BookRestaurant    PlayMusic
SearchCreativeWork    GetWeather    SearchScreeningEvent
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
SearchCreativeWork    GetWeather    SearchScreeningEvent
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
AddToPlaylist    BookRestaurant    PlayMusic
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
AddToPlaylist    GetWeather    PlayMusic
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
PlayMusic    BookRestaurant    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    PlayMusic
SearchScreeningEvent    BookRestaurant    SearchCreativeWork
SearchScreeningEvent    GetWeather    SearchCreativeWork
PlayMusic    BookRestaurant    SearchCreativeWork
SearchCreativeWork    AddToPlaylist    AddToPlaylist
PlayMusic    BookRestaurant    SearchCreativeWork
GetWeather    BookRestaurant    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
BookRestaurant    GetWeather    SearchCreativeWork
SearchScreeningEvent    BookRestaurant    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
BookRestaurant    PlayMusic    SearchCreativeWork
BookRestaurant    RateBook    GetWeather
SearchCreativeWork    BookRestaurant    PlayMusic
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
AddToPlaylist    SearchScreeningEvent    PlayMusic
SearchScreeningEvent    SearchScreeningEvent    PlayMusic
PlayMusic    SearchScreeningEvent    SearchCreativeWork
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
PlayMusic    SearchScreeningEvent    SearchCreativeWork
AddToPlaylist    BookRestaurant    PlayMusic
SearchCreativeWork    GetWeather    PlayMusic
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    PlayMusic    SearchScreeningEvent
AddToPlaylist    BookRestaurant    PlayMusic
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
PlayMusic    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
GetWeather    SearchScreeningEvent    SearchScreeningEvent
SearchScreeningEvent    PlayMusic    SearchCreativeWork
SearchCreativeWork    GetWeather    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchScreeningEvent    BookRestaurant    SearchCreativeWork
SearchScreeningEvent    GetWeather    SearchCreativeWork
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
SearchCreativeWork    PlayMusic    PlayMusic
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchScreeningEvent    SearchScreeningEvent    GetWeather
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    PlayMusic
PlayMusic    BookRestaurant    AddToPlaylist
SearchCreativeWork    GetWeather    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchCreativeWork    AddToPlaylist    AddToPlaylist
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchScreeningEvent    GetWeather    SearchCreativeWork
AddToPlaylist    BookRestaurant    PlayMusic
PlayMusic    PlayMusic    SearchCreativeWork
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
PlayMusic    SearchScreeningEvent    AddToPlaylist
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
PlayMusic    BookRestaurant    SearchCreativeWork
SearchScreeningEvent    GetWeather    SearchCreativeWork
PlayMusic    GetWeather    SearchCreativeWork
GetWeather    SearchScreeningEvent    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    PlayMusic
PlayMusic    BookRestaurant    AddToPlaylist
SearchCreativeWork    PlayMusic    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    PlayMusic
SearchCreativeWork    BookRestaurant    PlayMusic
SearchCreativeWork    PlayMusic    SearchScreeningEvent
PlayMusic    PlayMusic    SearchCreativeWork
SearchCreativeWork    GetWeather    SearchScreeningEvent
AddToPlaylist    SearchScreeningEvent    PlayMusic
SearchCreativeWork    GetWeather    SearchScreeningEvent
SearchScreeningEvent    GetWeather    SearchCreativeWork
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchScreeningEvent    GetWeather    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
SearchCreativeWork    GetWeather    SearchScreeningEvent
BookRestaurant    GetWeather    GetWeather
PlayMusic    SearchScreeningEvent    SearchCreativeWork
AddToPlaylist    BookRestaurant    PlayMusic
AddToPlaylist    SearchScreeningEvent    PlayMusic
SearchScreeningEvent    GetWeather    PlayMusic
SearchCreativeWork    GetWeather    PlayMusic
SearchScreeningEvent    SearchScreeningEvent    SearchCreativeWork
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
SearchCreativeWork    BookRestaurant    SearchScreeningEvent
PlayMusic    PlayMusic    AddToPlaylist
SearchScreeningEvent    AddToPlaylist    SearchCreativeWork
PlayMusic    BookRestaurant    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
PlayMusic    BookRestaurant    SearchCreativeWork
SearchCreativeWork    SearchScreeningEvent    SearchScreeningEvent
